,fips_code,china_exp_pc,china_pho_pc,2017_population,phaseone_gain,2017_exports_ytd,ytd_exports,pop_label,ytd_label,2017_ytd_label,phaseone_gain_label
0,10001,44.22156765835274,38.87976456049793,173145.0,9.070981146673551,219.01465173026207,238.88142949716686,"173,145",238.9,219.0,9.1
1,10003,41.45757953875123,26.245866868955037,555036.0,19.207576894869117,129.54169421047376,154.42351473686674,"555,036",154.4,129.5,19.2
2,10005,73.68448728026063,59.77980246760712,215551.0,12.58620173460221,323.19212871173625,363.8697420217506,"215,551",363.9,323.2,12.6
3,1001,87.78629567009725,51.0027052502299,55036.0,-57.195346901707026,535.8131343750865,229.35295342434617,"55,036",229.4,535.8,-57.2
4,1003,43.234386869532884,32.60109797231006,203360.0,-33.14140169710201,265.16094597019577,177.28289172237754,"203,360",177.3,265.2,-33.1
5,1005,103.46656855902563,59.05321177324512,26201.0,-60.75656235927567,936.6452760887173,367.57180483666605,"26,201",367.6,936.6,-60.8
6,1007,70.0863726509134,69.27015002238211,22580.0,-61.39856403969577,1017.1424379269121,392.63158680143425,"22,580",392.6,"1,017.1",-61.4
7,1009,11.923606555100767,6.826940395778109,57667.0,-36.22295915142547,60.139497342596314,38.355191786315046,"57,667",38.4,60.1,-36.2
8,1011,87.04324953141393,86.7074741877248,10478.0,-64.63258984317318,1456.3829065552704,515.0849160153184,"10,478",515.1,"1,456.4",-64.6
9,1013,31.968956052633835,31.75711845147284,20126.0,-64.4320907907814,530.8021924783753,188.7952419012503,"20,126",188.8,530.8,-64.4
10,1015,131.4676459547789,53.020107976828776,115527.0,-44.633416987515254,472.53057974101864,261.6240356916865,"115,527",261.6,472.5,-44.6
11,1017,206.1019625224568,130.44786744651512,33895.0,-59.37504465721819,1507.097755050185,612.2577899612049,"33,895",612.3,"1,507.1",-59.4
12,1019,86.30739084596061,86.1720965550424,25855.0,-49.25392142443378,971.250880348579,492.87173490756857,"25,855",492.9,971.3,-49.3
13,1021,40.52999084025601,35.89381277190849,43805.0,-59.64552455297978,505.70515443208177,204.07466237961015,"43,805",204.1,505.7,-59.6
