hs6,time_of_tariff,tariff,description
010121,2018-01-01,0.0,Live purebred breeding horses
010121,2018-07-06,0.0,Live purebred breeding horses
010121,2018-08-23,0.0,Live purebred breeding horses
010121,2018-09-24,0.0,Live purebred breeding horses
010121,2019-06-01,0.0,Live purebred breeding horses
010121,2019-09-01,15.0,Live purebred breeding horses
010121,2020-02-14,7.5,Live purebred breeding horses
010129,2018-01-01,0.0,Live horses other than purebred breeding horses
010129,2018-07-06,0.0,Live horses other than purebred breeding horses
010129,2018-08-23,0.0,Live horses other than purebred breeding horses
010129,2018-09-24,0.0,Live horses other than purebred breeding horses
010129,2019-06-01,0.0,Live horses other than purebred breeding horses
010129,2019-09-01,15.0,Live horses other than purebred breeding horses
010129,2020-02-14,7.5,Live horses other than purebred breeding horses
010130,2018-01-01,6.800000000000001,Live asses
010130,2018-07-06,6.800000000000001,Live asses
010130,2018-08-23,6.800000000000001,Live asses
010130,2018-09-24,6.800000000000001,Live asses
010130,2019-06-01,6.800000000000001,Live asses
010130,2019-09-01,21.8,Live asses
010130,2020-02-14,14.3,Live asses
010190,2018-01-01,4.5,Mules and hinnies imported for immediate slaughter
010190,2018-07-06,4.5,Mules and hinnies imported for immediate slaughter
010190,2018-08-23,4.5,Mules and hinnies imported for immediate slaughter
010190,2018-09-24,4.5,Mules and hinnies imported for immediate slaughter
010190,2019-06-01,4.5,Mules and hinnies imported for immediate slaughter
010190,2019-09-01,19.5,Mules and hinnies imported for immediate slaughter
010190,2020-02-14,12.0,Mules and hinnies imported for immediate slaughter
010221,2018-01-01,0.0,Live purebred breeding cattle
010221,2018-07-06,0.0,Live purebred breeding cattle
010221,2018-08-23,0.0,Live purebred breeding cattle
010221,2018-09-24,0.0,Live purebred breeding cattle
010221,2019-06-01,0.0,Live purebred breeding cattle
010221,2019-09-01,15.0,Live purebred breeding cattle
010221,2020-02-14,7.5,Live purebred breeding cattle
010229,2018-01-01,0.0,Cows imported specially for dairy purposes
010229,2018-07-06,0.0,Cows imported specially for dairy purposes
010229,2018-08-23,0.0,Cows imported specially for dairy purposes
010229,2018-09-24,0.0,Cows imported specially for dairy purposes
010229,2019-06-01,0.0,Cows imported specially for dairy purposes
010229,2019-09-01,15.0,Cows imported specially for dairy purposes
010229,2020-02-14,7.5,Cows imported specially for dairy purposes
010231,2018-01-01,0.0,Live purebred breeding buffalo
010231,2018-07-06,0.0,Live purebred breeding buffalo
010231,2018-08-23,0.0,Live purebred breeding buffalo
010231,2018-09-24,0.0,Live purebred breeding buffalo
010231,2019-06-01,0.0,Live purebred breeding buffalo
010231,2019-09-01,15.0,Live purebred breeding buffalo
010231,2020-02-14,7.5,Live purebred breeding buffalo
010239,2018-01-01,0.0,"Live buffalo, other than purebred breeding animals"
010239,2018-07-06,0.0,"Live buffalo, other than purebred breeding animals"
010239,2018-08-23,0.0,"Live buffalo, other than purebred breeding animals"
010239,2018-09-24,0.0,"Live buffalo, other than purebred breeding animals"
